,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
218638,1841-01-01,15.393999999999998,2.48,Taipei,Taiwan,24.92N,122.36E
218639,1841-02-01,15.713,1.893,Taipei,Taiwan,24.92N,122.36E
218640,1841-03-01,16.326,2.362,Taipei,Taiwan,24.92N,122.36E
218641,1841-04-01,19.328,2.003,Taipei,Taiwan,24.92N,122.36E
218642,1841-05-01,22.992,1.436,Taipei,Taiwan,24.92N,122.36E
218643,1841-06-01,25.133000000000003,2.195,Taipei,Taiwan,24.92N,122.36E
218644,1841-07-01,27.81,1.711,Taipei,Taiwan,24.92N,122.36E
218645,1841-08-01,27.329,1.6740000000000002,Taipei,Taiwan,24.92N,122.36E
218646,1841-09-01,24.911,1.514,Taipei,Taiwan,24.92N,122.36E
218647,1841-10-01,23.145,1.77,Taipei,Taiwan,24.92N,122.36E
218648,1841-11-01,20.446,1.731,Taipei,Taiwan,24.92N,122.36E
218649,1841-12-01,17.73,1.953,Taipei,Taiwan,24.92N,122.36E
218650,1842-01-01,16.258999999999997,1.978,Taipei,Taiwan,24.92N,122.36E
218651,1842-02-01,16.418,1.897,Taipei,Taiwan,24.92N,122.36E
218652,1842-03-01,18.774,2.142,Taipei,Taiwan,24.92N,122.36E
218653,1842-04-01,20.6,2.011,Taipei,Taiwan,24.92N,122.36E
218654,1842-05-01,22.817,1.521,Taipei,Taiwan,24.92N,122.36E
218655,1842-06-01,25.318,1.496,Taipei,Taiwan,24.92N,122.36E
218656,1842-07-01,26.593000000000004,1.306,Taipei,Taiwan,24.92N,122.36E
218657,1842-08-01,27.095,1.474,Taipei,Taiwan,24.92N,122.36E
218658,1842-09-01,25.05,1.4980000000000002,Taipei,Taiwan,24.92N,122.36E
218659,1842-10-01,22.479,1.917,Taipei,Taiwan,24.92N,122.36E
218660,1842-11-01,20.35100000000001,1.837,Taipei,Taiwan,24.92N,122.36E
218661,1842-12-01,18.997,1.932,Taipei,Taiwan,24.92N,122.36E
218662,1843-01-01,17.241,1.92,Taipei,Taiwan,24.92N,122.36E
218663,1843-02-01,17.508,1.948,Taipei,Taiwan,24.92N,122.36E
218664,1843-03-01,17.235,2.011,Taipei,Taiwan,24.92N,122.36E
218665,1843-04-01,20.238,1.737,Taipei,Taiwan,24.92N,122.36E
218666,1843-05-01,22.218000000000004,1.485,Taipei,Taiwan,24.92N,122.36E
218667,1843-06-01,25.459,1.61,Taipei,Taiwan,24.92N,122.36E
218668,1843-07-01,27.092,1.646,Taipei,Taiwan,24.92N,122.36E
218669,1843-08-01,27.281,1.53,Taipei,Taiwan,24.92N,122.36E
218670,1843-09-01,25.278,1.35,Taipei,Taiwan,24.92N,122.36E
218671,1843-10-01,22.665,2.196,Taipei,Taiwan,24.92N,122.36E
218672,1843-11-01,20.553,1.633,Taipei,Taiwan,24.92N,122.36E
218673,1843-12-01,19.117,2.322,Taipei,Taiwan,24.92N,122.36E
218674,1844-01-01,16.284999999999997,2.012,Taipei,Taiwan,24.92N,122.36E
218675,1844-02-01,16.275,2.306,Taipei,Taiwan,24.92N,122.36E
218676,1844-03-01,18.09,1.82,Taipei,Taiwan,24.92N,122.36E
218677,1844-04-01,19.94,1.6669999999999998,Taipei,Taiwan,24.92N,122.36E
218678,1844-05-01,22.446,1.492,Taipei,Taiwan,24.92N,122.36E
218679,1844-06-01,25.355,1.55,Taipei,Taiwan,24.92N,122.36E
218680,1844-07-01,27.026,1.594,Taipei,Taiwan,24.92N,122.36E
218681,1844-08-01,27.224,1.586,Taipei,Taiwan,24.92N,122.36E
218682,1844-09-01,24.881,1.4,Taipei,Taiwan,24.92N,122.36E
218683,1844-10-01,23.245,1.567,Taipei,Taiwan,24.92N,122.36E
218684,1844-11-01,20.028,1.811,Taipei,Taiwan,24.92N,122.36E
218685,1844-12-01,16.833000000000002,1.838,Taipei,Taiwan,24.92N,122.36E
218686,1845-01-01,16.938,2.261,Taipei,Taiwan,24.92N,122.36E
218687,1845-02-01,16.212,2.787,Taipei,Taiwan,24.92N,122.36E
218688,1845-03-01,17.881999999999994,1.423,Taipei,Taiwan,24.92N,122.36E
218689,1845-04-01,20.231,1.526,Taipei,Taiwan,24.92N,122.36E
